Type,ID,Name,Color
Metabolite,C02970,Decaprenol phosphate,#9CCEFF
Generic metabolite class,G13118,GlcNAc-pyrophosphoryldecaprenol,#99CCFF
Metabolite,C19871,Guanylyl molybdenum cofactor,#FFB3CC
Metabolite,C20247,2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate,#FFB4CD
Metabolite,C03785,"D-Tagatose 1,6-bisphosphate",#B2B2E6
Metabolite,C00463,Indole,#FFCD68
Metabolite,C00110,Dolichyl phosphate,#9ACDFF
Metabolite,C05382,Sedoheptulose 7-phosphate,#98CCFF
Metabolite,C00157,Phosphatidylcholine,#80CCB3
Metabolite,C00189,Ethanolamine,#76C8AD
Metabolite,C00114,Choline,#75C8AD
Metabolite,C00195,N-Acylsphingosine,#82CDB4
Metabolite,C00187,Cholesterol,#82CDCD
Metabolite,C00280,Androstenedione,#82CDCD
Metabolite,C00156,4-Hydroxybenzoate,#D8877B
Metabolite,C00227,Acetyl phosphate,#AFAFE5
Metabolite,C00259,L-Arabinose,#B4B4E6
Metabolite,C00006,NADP+,#FFB4CD
Metabolite,C00143,"5,10-Methylenetetrahydrofolate",#FFCA5F
Metabolite,C00135,L-Histidine,#FFCC66
Metabolite,C00166,Phenylpyruvate,#FFC85A
Metabolite,C00245,Taurine,#FF9901
Metabolite,C00010,CoA,#FFB4CC
Metabolite,C00032,Heme,#FFB2CB
Metabolite,C00194,Cobamide coenzyme,#FFACC7
Metabolite,C00144,GMP,#FF8383
Metabolite,C00035,GDP,#FF7F7F
Metabolite,C00255,Riboflavin,#FFB4CD
Metabolite,C00061,FMN,#FFB5CD
Metabolite,C00016,FAD,#FFB3CC
Metabolite,C00266,Glycolaldehyde,#FFB5CD
Metabolite,C00250,Pyridoxal,#FFADC8
Metabolite,C00018,Pyridoxal phosphate,#FFADC8
Metabolite,C00143,"5,10-Methylenetetrahydrofolate",#FFB2CB
Metabolite,C00020,AMP,#FF8282
Metabolite,C00212,Adenosine,#FF8080
Metabolite,C00147,Adenine,#FF7C7C
Metabolite,C00002,ATP,#FE8383
Metabolite,C00131,dATP,#FF8282
Metabolite,C00015,UDP,#FF7979
Metabolite,C00075,UTP,#FF7373
Metabolite,C00063,CTP,#FF7676
